review_rank,reviewed_card,current_product,product_status,monthly_finance_charge,effective_annualized_rate,annual_fee_inr,fee_waiver_spend_inr,welcome_offer,rewards_summary,benefits_summary
1,Axis Bank Myzone Credit card,Axis Bank My Zone,Current,3.75%,55.55%,500,,SonyLIV annual subscription valued at ₹1499,4 EDGE points per ₹200 plus 1000 milestone points at ₹1.5 lakh annual spend,SonyLIV; District BOGO; Swiggy discount; conditional domestic lounge; fuel waiver
2,ICICI CORAL VISA CONTACTLESS,ICICI Bank Coral,Current,3.75%,55.55%,500,150000,No separate welcome gift listed,2 points per ₹100 retail and 1 point per ₹100 utility or insurance,Conditional lounge; movies; railway lounge; fuel waiver
3,SBI ELITE,SBI Card ELITE,Current,3.75%,55.55%,4999,1000000,₹5000 e-gift voucher,5X points on dining department stores and grocery plus milestone rewards,Movie tickets and premium lifestyle benefits
4,CITIBANK PREMIERMILES,Axis Bank Horizon,Legacy card migrated,3.75%,55.55%,3000,,5000 EDGE Miles,5 EDGE Miles per ₹100 on Travel EDGE or direct airlines and 2 elsewhere,Domestic and international lounges; fuel waiver; lost-card liability cover
5,AXIS FLIPKART,Flipkart Axis Bank,Current,3.75%,55.55%,500,350000,Current activation value starts at ₹100,7.5% Myntra; 5% Flipkart and Cleartrip; 4% preferred merchants; 1% eligible other spend,Limited-period nil joining fee; fuel waiver

